FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr,a_count,contains_a
DE000MA42DM1,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DN9,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DP4,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DQ2,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DR0,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DS8,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DT6,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DU4,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DV2,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DW0,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DX8,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DY6,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42DZ3,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42E00,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42E18,Open End X-Turbo Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42F17,Mini Long DAX / X-DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42KB9,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KC7,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KD5,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KE3,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KF0,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KG8,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KH6,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KJ2,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KK0,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KL8,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KM6,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KN4,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KP9,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KQ7,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KR5,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KS3,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KT1,Open End Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42KX3,Mini Long S&P 500 emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA42QD2,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
